id,ranking_in_category_guardian,title,director,leading_actors,year_released,no_of_oscars won,IMDB_link,guardian_film_page,country,category_guardian,list_source,list_year,note
58,13,The Haunting,Robert Wise,"Claire Bloom, Julie Harris, Richard Johnson",1963,,http://www.imdb.com/title/tt0057129/,http://www.guardian.co.uk/film/movie/99697/haunting,USA,horror,guardian,2010,
59,17,Goldfinger,Guy Hamilton," Bernard Lee, Gert Frobe, Harold Sakata, Honor Blackman, Lois Maxwell, Sean Connery, Shirley Eaton, Tania Mallet",1964,1,http://www.imdb.com/title/tt0058150/,http://www.guardian.co.uk/film/movie/79341/goldfinger,UK,action,guardian,2010,
60,14,Umbrellas of Cherbourg,Jaques Demy ,"Anne Vernon, Catherine Deneuve, Nino Castelnuovo",1964,,http://www.imdb.com/title/tt0058450/,http://www.guardian.co.uk/film/movie/77848/umbrellas.of.cherbourg,France,romance,guardian,2010,
61,5,Dr Strangelove,Stanley Kubrick,"George C Scott, Peter Sellers, Sterling Hayden",1964,,http://www.imdb.com/title/tt0057012/,http://www.guardian.co.uk/film/movie/76390/dr-strangelove,UK,comedy,guardian,2010,
62,10,The Gospel According to St Matthew,Pier Paolo Pasolini," Enrique Irazoqui, Margherita Caruso",1964,,http://www.imdb.com/title/tt0058715/,http://www.guardian.co.uk/film/movie/76223/gospel-according-to-st-matthew,Italy,drama,guardian,2010,
63,20,Dr Zhivago,David Lean,"Geraldine Chaplin, Julie Christie, Omar Sharif",1965,5,http://www.imdb.com/title/tt0059113/,http://www.guardian.co.uk/film/movie/78519/dr-zhivago,USA,romance,guardian,2010,
64,14,Alphaville,Jean Luc-Godard,"Anna Karina, Eddie Constantine",1965,,http://www.imdb.com/title/tt0058898/,http://www.guardian.co.uk/film/movie/75764/alphaville,France,scifi,guardian,2010,
65,1,Andrei Rublev,Andrei Tarkovsky,"Anatoli Solonitsyn, Andrei Mikhalkov-Konchalovsky, Andrei Tarkovsky, Ivan Lapikov, Nikolai Grinko",1966,,http://www.imdb.com/title/tt0060107/,http://www.guardian.co.uk/film/movie/76518/andrei.rublev,Soviet Union,drama,guardian,2010,
66,12,Bonnie & Clyde,Arthur Penn,"Faye Dunaway, Gene Hackman, Michael J Pollard, Warren Beatty",1967,2,http://www.imdb.com/title/tt0061418/,http://www.guardian.co.uk/film/movie/76253/bonnie-and-clyde,USA,crime,guardian,2010,
67,17,Point Blank,John Boorman,"Angie Dickinson, Keenan Wynn, Lee Marvin",1967,,http://www.imdb.com/title/tt0062138/,http://www.guardian.co.uk/film/movie/36266/point-blank,USA,crime,guardian,2010,
